1	20.9306	0.0303
2	20.9292	0.0294
3	20.9258	0.0309
4	20.9289	0.0327
5	20.9293	0.0252
6	20.9266	0.0292
7	20.9295	0.0303
8	20.9303	0.0269
9	20.9293	0.0243
10	20.9279	0.0267
11	20.9279	0.0329
12	20.9328	0.0291
13	20.9300	0.0294
14	20.9303	0.0286
15	20.9308	0.0267
16	20.9289	0.0311
17	20.9321	0.0298
18	20.9260	0.0272
19	20.9295	0.0288
20	20.9325	0.0300
21	20.9299	0.0300
22	20.9294	0.0238
23	20.9364	0.0288
24	20.9277	0.0337
25	20.9300	0.0328
26	20.9307	0.0308
27	20.9285	0.0294
28	20.9322	0.0321
29	20.9319	0.0304
30	20.9286	0.0284
31	20.9308	0.0259
32	20.9337	0.0272
33	20.9290	0.0297
34	20.9276	0.0286
35	20.9273	0.0276
36	20.9283	0.0281
37	20.9291	0.0306
38	20.9313	0.0281
39	20.9304	0.0336
40	20.9298	0.0301
41	20.9302	0.0296
42	20.9303	0.0271
43	20.9320	0.0320
44	20.9296	0.0326
45	20.9326	0.0294
46	20.9261	0.0284
47	20.9210	0.0322
48	20.9247	0.0374
49	20.9203	0.0348
50	20.9216	0.0416
51	20.9193	0.0384
52	20.9150	0.0445
53	20.9109	0.0448
54	20.9092	0.0510
55	20.9096	0.0511
56	20.8983	0.0563
57	20.9053	0.0586
58	20.9017	0.0606
59	20.8990	0.0622
60	20.8950	0.0641
61	20.8931	0.0649
62	20.8954	0.0729
63	20.8889	0.0705
64	20.8859	0.0741
65	20.8915	0.0735
66	20.8836	0.0800
67	20.8781	0.0787
68	20.8776	0.0828
69	20.8728	0.0821
70	20.8777	0.0845
71	20.8719	0.0903
72	20.8735	0.0884
73	20.8666	0.0966
74	20.8649	0.0963
75	20.8646	0.0957
76	20.8605	0.0977
77	20.8569	0.1011
78	20.8571	0.0997
79	20.8609	0.1025
80	20.8590	0.1021
81	20.8606	0.1027
82	20.8595	0.0994
83	20.8570	0.1025
84	20.8629	0.1033
85	20.8615	0.0990
86	20.8595	0.1021
87	20.8596	0.0987
88	20.8578	0.1003
89	20.8588	0.0988
90	20.8595	0.0949
91	20.8617	0.0997
92	20.8618	0.0998
93	20.8583	0.0953
94	20.8606	0.0982
95	20.8645	0.0979
96	20.8639	0.0989
97	20.8637	0.0966
98	20.8641	0.0971
99	20.8604	0.0933
100	20.8621	0.0961
101	20.8639	0.0941
102	20.8616	0.0978
103	20.8644	0.0985
104	20.8602	0.0925
105	20.8631	0.0967
106	20.8662	0.0974
107	20.8662	0.0915
108	20.8643	0.0947
109	20.8622	0.0948
110	20.8683	0.0962
111	20.8626	0.1006
112	20.8588	0.0988
113	20.8537	0.1024
114	20.8551	0.1027
115	20.8535	0.1042
116	20.8504	0.1077
117	20.8487	0.1116
118	20.8446	0.1151
119	20.8435	0.1135
120	20.8443	0.1172
121	20.8410	0.1181
122	20.8379	0.1237
123	20.8371	0.1216
124	20.8364	0.1280
